Month,Phase,NetPnL,Payoff,HedgingPnL,TxCosts
2018-05,Pre-COVID,0.5220685418471207,1.7093163262556743,-1.1521288746393736,0.03511890976917999
2018-06,Pre-COVID,1.3365978485974759,0.7873820953907398,0.5839872915608453,0.03477153835410925
2018-07,Pre-COVID,-0.04984663602114037,2.413203565996241,-2.427676236814918,0.03537396520246372
2018-08,Pre-COVID,-1.3185538106073111,1.3257772818260491,-2.6089209754171776,0.03541011701618259
2018-10,Pre-COVID,7.896587856165908,0.0,7.929891061736953,0.033303205571044776
2018-11,Pre-COVID,0.0467892364503438,0.0,0.08166150164697683,0.03487226519663303
2019-01,COVID,-2.2930305705894205,3.686189480232798,-5.9431428587705994,0.036077192051619224
2019-03,COVID,-0.4006047442132527,0.0,-0.3656429333220075,0.03496181089124525
2019-04,COVID,-1.1387733178308448,1.2035663287071259,-2.306989852138699,0.03534979439927177
2019-05,COVID,4.163445534179206,0.0,4.197494848060316,0.034049313881109884
2019-06,COVID,-0.9966293088634556,5.309480239193675,-6.269967449191697,0.036142098865434326
2019-07,COVID,-0.6316946438346672,1.0699527487305147,-1.6664256976467584,0.03522169491842356
2019-08,COVID,1.9030722538758515,0.0,1.9375739515733414,0.03450169769748995
2019-09,COVID,0.4611275704741585,2.611112725870001,-2.114673969639597,0.03531118575624555
2019-10,COVID,-2.024772603092944,0.9528264098503598,-2.9421219752811822,0.03547703766212173
2019-11,COVID,-0.9028011802475994,1.2388554332198538,-2.1063469987872026,0.03530961468025067
2019-12,COVID,-1.1118766326740535,1.9325747827496969,-3.008961178632944,0.035490236790806
2020-01,COVID,-0.020642238174221783,0.7055850074871728,-0.6912005153096601,0.03502673035173448
2020-03,COVID,15.455943116769172,0.0,15.487738421893852,0.03179530512468049
2020-04,COVID,-5.1011106815530844,11.49372557111414,-16.556636373388912,0.03819987927831307
2020-05,COVID,-3.4767828343507685,3.14050270695256,-6.58108075658177,0.036204784721558775
2020-06,COVID,2.9901280772076206,1.6925757434123767,1.3321749770359332,0.03462264324068938
2020-07,COVID,-1.2455834658649891,2.78105855383437,-3.990955395947921,0.03568662375143817
2020-08,COVID,-2.902700945457471,2.7824205802520083,-5.649103358231571,0.03601816747790837
2020-09,COVID,4.694648939396426,0.0,4.728592557798763,0.03394361840233655
2020-10,COVID,4.298523655799373,1.5016103329947157,2.831235750906046,0.03432242810138851
2020-11,COVID,-1.0280404830602186,7.212543227642868,-8.20405474218073,0.03652896852235646
2020-12,COVID,-0.8091814914599944,0.7641212700552131,-1.5381067650943976,0.03519599642080995
2021-03,COVID,-1.6573963732542842,0.0035355720596896845,-1.6257179534131865,0.03521399190078736
2021-04,COVID,-1.2245561896567796,2.9679166989566568,-4.156753333540422,0.03571955507301436
2021-05,COVID,-0.2732448736178793,0.0,-0.23830863140497627,0.03493624221290306
2021-06,COVID,-1.139788501851815,0.7337738668136637,-1.8383062975271969,0.03525607113828193
2021-07,COVID,-1.0613544299077828,0.9767614454094655,-2.002826891778227,0.035288983539021226
2021-08,COVID,-1.1055675316506444,1.359167554823074,-2.4293609061060266,0.03537418036769166
2021-09,COVID,3.1396551231246814,0.0,3.173908851714984,0.03425372859030232
2021-10,COVID,-2.6146550104449693,2.213277765936013,-4.792085872085849,0.035846904295133486
2021-11,COVID,0.45163161928193984,1.2730875976156142,-0.7864102609806025,0.0350457173530718
2021-12,COVID,-2.0799629591936646,3.3672314146960787,-5.411223874156022,0.03597049973372124
2022-01,Post-COVID,5.076061302313382,0.0,5.109928252411308,0.03386695009792594
2022-03,Post-COVID,-4.200784106443864,1.2881774125149406,-5.452982179238646,0.035979339720159154
2022-04,Post-COVID,7.908694146955468,0.0,7.941994724769302,0.03330057781383421
2022-05,Post-COVID,-0.09474456319294612,0.0,-0.059843005610915156,0.034901557582030965
2022-06,Post-COVID,5.9724614423488385,0.0,6.006149561950949,0.033688119602110156
2022-07,Post-COVID,-4.730518340061497,2.258613303896894,-6.952852695533835,0.03627894842455562
