Phase,Episode_start,Date,RawPrice,ScaledPrice,AgentActionRaw,HedgeRatio,ChangeInHedge,TransactionCost,PnlFromHolding,RunningAvgSoFar,RunningMaxSoFar
1,2017-08-01,2017-08-21,2428.3701171875,98.06247184054625,0.9984251856803894,1.9968503713607788,-2.9802322387695312e-06,2.922489399926253e-07,1.9465674682811467,99.32569860914072,100.18413448314277
1,2017-08-01,2017-08-22,2452.510009765625,99.03728927855603,0.9984238147735596,1.9968476295471191,-2.7418136596679688e-06,2.71541792560433e-07,-0.6829916399929845,99.30767302597917,100.18413448314277
1,2017-08-01,2017-08-23,2444.0400390625,98.69525481779293,0.9984222650527954,1.9968445301055908,-3.0994415283203125e-06,3.059001714304228e-07,-0.4088337103320568,99.27164842549762,100.18413448314277
1,2017-08-01,2017-08-24,2438.969970703125,98.490515255153,0.9984206557273865,1.996841311454773,-3.2186508178710938e-06,3.170065774785437e-07,0.3290036289303614,99.22825213825625,100.18413448314277
1,2017-08-01,2017-08-25,2443.050048828125,98.65527702001256,0.9984190464019775,1.996838092803955,-3.2186508178710938e-06,3.1753688806776275e-07,0.09595267488465964,99.19809555308554,100.18413448314277
1,2017-09-01,2017-09-01,2476.550048828125,100.0,0.998481035232544,1.996962070465088,1.996962070465088,0.19969620704650878,-0.0,100.0,100.0
1,2017-09-01,2017-09-05,2457.85009765625,99.24491931100994,0.9984366297721863,1.9968732595443726,-8.881092071533203e-05,8.81403266032963e-06,0.6200771641843768,99.62245965550497,100.0
1,2017-09-01,2017-09-06,2465.5400390625,99.55542954721085,0.9984378218650818,1.9968756437301636,2.384185791015625e-06,2.3735864054491723e-07,-0.03547302548248009,99.6001162860736,100.0
1,2017-09-01,2017-09-07,2465.10009765625,99.53766526231549,0.9984376430511475,1.996875286102295,-3.5762786865234375e-07,3.559744307839232e-08,-0.29593042662374275,99.58450353013407,100.0
1,2017-09-01,2017-09-08,2461.429931640625,99.38946853932329,0.9984369277954102,1.9968738555908203,-1.430511474609375e-06,1.4217777520082944e-07,2.1512581048645987,99.5454965319719,100.0
1,2017-09-01,2017-09-11,2488.110107421875,100.4667807379552,0.9984362721443176,1.9968725442886353,-1.3113021850585938e-06,1.3174230910748332e-07,0.6748735269786869,99.6990438996358,100.4667807379552
1,2017-09-01,2017-09-12,2496.47998046875,100.80474576518473,0.9984355568885803,1.9968711137771606,-1.430511474609375e-06,1.4420234551217755e-07,0.15240403158458118,99.85700130899993,100.80474576518473
1,2017-09-01,2017-09-13,2498.3701171875,100.88106712681619,0.9984347224235535,1.996869444847107,-1.6689300537109375e-06,1.6836344477837402e-07,-0.22173569904173074,99.98500953622697,100.88106712681619
1,2017-09-01,2017-09-14,2495.6201171875,100.7700255590796,0.9984337091445923,1.9968674182891846,-2.0265579223632812e-06,2.042162936335031e-07,0.3716983283098458,100.07223353876616,100.88106712681619
