Episode,Phase,EpisodeTotalPnl,EpisodeAvgPnlPerStep,EpisodeLen,TerminalRepErr,Empirical_RL_CVaR,Empirical_BS_CVaR,Delta_CVaR_RL_minus_BS,Critic_CVaR_Estimate,Empirical_RL_Q5,Critic_u,MeanXi,MeanSigma,ActionStd,CorrActionRet,ModeEntropy
10,FORCED_ENTRY,-6.564111353573411,-0.008046918636741252,30,6.564111353573411,-0.7374236538009367,-0.16398966576123897,-0.5734339880396977,16.237920093536378,-0.6584656148426579,15.666340541839599,-0.03763860103984674,0.5930934409300487,0.18250160724129647,-0.3480155778930874,1.0962103605270386
11,FORCED_ENTRY,4.506408610414162,-0.07002741031356234,30,-4.506408610414162,-1.4915617009986577,-0.6574576818237851,-0.8341040191748726,15.690096918741862,-0.9482332719228904,15.123462518056234,-0.04116090635458628,0.5899579385916393,0.1642241602450519,0.05596132373500113,1.0963679552078247
12,FORCED_ENTRY,-4.644463862499968,0.0562493516547422,30,4.644463862499968,-0.6058551586984832,-0.4912548491709797,-0.11460030952750344,15.14724677403768,-0.31385790343970726,14.584450594584148,-0.0460481704523166,0.5887123048305511,0.17106235649347193,-0.4372370651419375,1.0964852571487427
13,FORCED_ENTRY,-6.906785550788016,-0.15981915709960995,30,6.906785550788016,-1.6859254900126706,-0.2613107944545326,-1.424614695558138,14.473785082499186,-1.0821515531663668,13.914036750793457,-0.050779676313201585,0.5881725370883941,0.14376118495425047,-0.10243812832655097,1.0965850353240967
14,FORCED_ENTRY,-6.453955086914689,-0.09089486036520532,30,6.453955086914689,-0.9695442253524378,-0.2996097882018387,-0.6699344371505991,13.83177235921224,-0.7690353454803278,13.274581877390544,-0.05480992496013641,0.5877308070659637,0.20407393906392662,-0.13287103110153214,1.0966399908065796
15,FORCED_ENTRY,-1.0181858801705561,-0.01634971198444732,30,1.0181858801705561,-1.1065718071526849,-0.17898122578047526,-0.9275905813722096,13.20346113840739,-0.4257199509952285,12.648500474294027,-0.05805852264165878,0.5871812860171001,0.17232587712462658,0.1570951781418615,1.096627950668335
16,FORCED_ENTRY,2.976341340713879,-0.008105081099790901,30,-2.976341340713879,-0.9865429979065337,-0.15486500083982171,-0.831677997066712,12.824400774637859,-0.7252823103646029,12.271577739715577,-0.06045814628402392,0.5862460394700368,0.1973804174866979,-0.09279842702980608,1.0965073108673096
17,FORCED_ENTRY,-1.3281945770288337,0.09267767858236067,30,1.3281945770288337,-0.526879168624214,-0.5355755460124709,0.008696377388256904,11.895327536265055,-0.460376059716471,11.343264452616374,-0.06349587092796961,0.5871170381704967,0.15728107818469175,-0.13852953479323069,1.0963516235351562
18,FORCED_ENTRY,-1.4432466697968036,0.05770325076245486,30,1.4432466697968036,-0.45378831580359197,-0.5341453276037172,0.08035701180012528,11.24646978378296,-0.3227316570332754,10.695334911346436,-0.06538290282090505,0.5871699253718058,0.15434258272638324,-0.06935033370066397,1.0961086750030518
19,FORCED_ENTRY,-3.590690743520832,0.04739969594281616,30,3.590690743520832,-0.7087148537601735,-0.644947430166843,-0.06376742359333054,10.605452823638917,-0.5400252016023355,10.054951127370199,-0.06688643073042234,0.5873230357964834,0.19652530219206452,-0.29827540966756455,1.095827341079712
20,FORCED_ENTRY,0.578671254122766,0.06710306297818201,30,-0.578671254122766,-1.121855954491677,-1.3767427200172082,0.25488676552553113,9.939032745361327,-0.22696936267431161,9.388928858439128,-0.06801560670137405,0.5875198245048523,0.189966632404951,0.019910714884563807,1.0955325365066528
