EpisodeStart,EpisodeEnd,Phase,OptionPayoff,HedgingPnL,TransactionCost,NetPnL,AvgScaledPrice,NumDays
2017-09-01,2017-09-29,1,0.6578098923801718,0.9857691678423492,0.18157576135147624,1.462003298871045,100.65780989238017,20
2017-10-02,2017-10-27,1,1.0348411414079521,1.2367135906702629,0.1738652605748448,2.09768947150337,101.03484114140795,20
2017-11-01,2017-11-29,1,0.44766574422348526,1.0011733849347024,0.20126689518735713,1.2475722339708306,100.44766574422349,20
2017-12-01,2017-12-29,1,0.8371958764181926,0.49387834699864186,0.18772838523138996,1.1433458381854444,100.83719587641819,20
2018-01-02,2018-01-30,1,3.4235885621838804,3.086071785388995,0.21009592919006306,6.299564418382812,103.42358856218388,20
2018-03-01,2018-03-28,1,1.0531202611003607,-2.473652820549221,0.2280669310938358,-1.6485994905426962,101.05312026110036,20
2018-04-02,2018-04-27,1,2.7895985770724394,1.5537477071749208,0.2679305758951827,4.075415708352177,102.78959857707244,20
2018-05-01,2018-05-29,1,1.7093163262556743,0.18461198930161515,0.21309947312826444,1.680828842429025,101.70931632625567,20
2018-06-01,2018-06-28,1,0.7873820953907256,-0.6932466144090625,0.15604478802315835,-0.06190930704149533,100.78738209539073,20
2018-07-02,2018-07-30,1,2.4132035659962696,1.384120483013234,0.2184710087077471,3.5788530403017567,102.41320356599627,20
2018-08-01,2018-08-28,1,1.3257772818260491,1.8983649881682538,0.22798283737661518,2.996159432617688,101.32577728182605,20
2018-10-01,2018-10-26,1,0.0,-2.3222999601932064,0.12438219986068312,-2.4466821600538897,95.79132183404776,20
2018-11-01,2018-11-29,1,0.0,-1.574438871917998,0.26449606612475485,-1.8389349380427529,99.30718774087812,20
2019-01-02,2019-01-30,2,3.6861894802327697,4.451793932646126,0.25622959254672434,7.881753820332172,103.68618948023277,20
2019-03-01,2019-03-28,2,0.0,-0.3467596709635927,0.21237744754687576,-0.5591371185104685,99.95623791679388,20
2019-04-01,2019-04-29,2,1.2035663287071259,1.658603828508049,0.20047939847005378,2.661690758745121,101.20356632870713,20
2019-05-01,2019-05-29,2,0.0,-1.7833117211209413,0.16051674082251977,-1.9438284619434611,97.92732271073227,20
2019-06-03,2019-06-28,2,5.309480239193661,5.1796966383457175,0.2097516269314537,10.279425250607925,105.30948023919366,20
2019-07-01,2019-07-29,2,1.0699527487305147,0.9768386043327837,0.22595050365976846,1.82084084940353,101.06995274873051,20
2019-08-01,2019-08-28,2,0.0,-2.6786446084492335,0.23339936688963686,-2.9120439753388703,98.0052355878127,20
2019-09-03,2019-09-30,2,2.611112725870001,1.165835737791241,0.19576969117836968,3.5811787724828723,102.61111272587,20
2019-10-01,2019-10-28,2,0.9528264098503598,1.8889291952314267,0.2633427026017926,2.578412902479994,100.95282640985036,20
2019-11-01,2019-11-29,2,1.2388554332198538,1.4420474813258437,0.20348011076667288,2.4774228037790245,101.23885543321985,20
2019-12-02,2019-12-30,2,1.9325747827496969,2.122545533307971,0.21798403748815165,3.837136278569516,101.9325747827497,20
2020-01-02,2020-01-30,2,0.7055850074871728,-0.04030364041692991,0.210315751559652,0.4549656155105909,100.70558500748717,20
2020-03-02,2020-03-27,2,0.0,-4.825817449887454,0.1691105852885022,-4.994928035175956,85.98295314223523,20
2020-04-01,2020-04-29,2,11.49372557111414,15.016259990784704,0.24500776701216886,26.264977794886676,111.49372557111414,20
2020-05-01,2020-05-29,2,3.14050270695256,5.0029292745113025,0.29599240228812607,7.847439579175736,103.14050270695256,20
2020-06-01,2020-06-26,2,1.6925757434123625,-4.006032612431383,0.33754133135603714,-2.650998200375058,101.69257574341236,20
2020-07-01,2020-07-29,2,2.78105855383437,2.792184808575641,0.250466605980653,5.322776756429358,102.78105855383437,20
2020-08-03,2020-08-28,2,2.7824205802520083,4.968654010615353,0.22633170863597935,7.524742882231382,102.78242058025201,20
2020-09-01,2020-09-29,2,0.0,-2.8221671001711774,0.1568528357997134,-2.9790199359708907,95.43455114855787,20
2020-10-01,2020-10-28,2,1.50161033299473,-2.9448355513970768,0.24509369404513826,-1.688318912447485,101.50161033299473,20
2020-11-02,2020-11-30,2,7.212543227642868,7.0136854487632405,0.21711880908936385,14.009109867316745,107.21254322764287,20
2020-12-01,2020-12-29,2,0.7641212700552131,0.8485318803076751,0.22143779571854968,1.3912153546443387,100.76412127005521,20
2021-03-01,2021-03-26,2,0.0035355720596896845,0.28109527938802614,0.24222492228942696,0.04240592915828886,100.00353557205969,20
2021-04-01,2021-04-29,2,2.9679166989566568,3.1556195258645943,0.23135072951757713,5.892185495303674,102.96791669895666,20
2021-05-03,2021-05-28,2,0.0,-0.5410169527362072,0.2263833428960349,-0.7674002956322421,99.40823679495698,20
2021-06-01,2021-06-28,2,0.7337738668136637,1.0684214897788564,0.2262919541315076,1.5759034024610126,100.73377386681366,20
2021-07-01,2021-07-29,2,0.9767614454094655,0.9839991248414179,0.2504667143641797,1.7102938558867038,100.97676144540947,20
2021-08-02,2021-08-27,2,1.359167554823074,1.6301487169333342,0.21870825260348248,2.7706080191529256,101.35916755482307,20
2021-09-01,2021-09-29,2,0.0,-1.5986396307347128,0.1511256621667008,-1.7497652929014136,98.41633643939086,20
2021-10-01,2021-10-28,2,2.213277765936013,3.8268010908198704,0.24249197674572706,5.797586880010156,102.21327776593601,20
2021-11-01,2021-11-29,2,1.2730875976156142,-0.31188208128057937,0.1876211517595026,0.7735843645755323,101.27308759761561,20
2021-12-01,2021-12-29,2,3.3672314146960787,4.0002568608369415,0.2902469528482172,7.077241322684803,103.36723141469608,20
2022-01-03,2022-01-31,3,0.0,-2.0780107611356295,0.11602838165814194,-2.1940391427937715,95.35615937732068,20
2022-03-01,2022-03-28,3,1.2881774125149406,3.452386602319976,0.3339803946790352,4.406583620155882,101.28817741251494,20
2022-04-01,2022-04-29,3,0.0,-2.218276243621929,0.1557371358442943,-2.3740133794662235,96.59989810869502,20
2022-05-02,2022-05-27,3,0.0,-3.4859515241111545,0.2242273809045551,-3.7101789050157095,97.12157784912208,20
2022-06-01,2022-06-29,3,0.0,-2.9698763811884388,0.15383848871065411,-3.123714869899093,95.20619528797513,20
2022-07-01,2022-07-29,3,2.2586133038968654,5.62962078897354,0.2935578483619398,7.594676244508466,102.25861330389687,20
2022-08-01,2022-08-26,3,1.5813307932681084,-2.7851011701667687,0.2689985379987079,-1.4727689148973682,101.58133079326811,20
2022-09-01,2022-09-29,3,0.0,-2.786978216884622,0.19262315487433987,-2.979601371758962,97.40134918179952,20
2022-10-03,2022-10-28,3,1.0962441450100187,2.730689201485646,0.36559786383154885,3.461335482664116,101.09624414501002,20
2022-11-01,2022-11-29,3,1.3811213538614027,-0.5267946367301874,0.31073047072832516,0.5435962464028901,101.3811213538614,20
2022-12-01,2022-12-29,3,0.0,-2.250597875674328,0.14281566303755844,-2.3934135387118864,96.06176109652918,20
2023-01-03,2023-01-31,3,3.569865172781576,4.46764321426933,0.2565744025267932,7.780933984524113,103.56986517278158,20
2023-03-01,2023-03-28,3,0.07733013743126094,-0.8994067262857186,0.29287008099325007,-1.1149466698477077,100.07733013743126,20
2023-05-01,2023-05-26,3,0.0,-0.26182548962765395,0.2138764514526565,-0.47570194108031044,99.36785201571078,20
2023-06-01,2023-06-29,3,2.8216512897169252,2.587736116571918,0.22656678105791625,5.182820625230927,102.82165128971693,20
2023-07-03,2023-07-31,3,1.1779729816215792,1.795801860789652,0.23118076905063284,2.7425940733605985,101.17797298162158,20
2023-08-01,2023-08-28,3,0.0,-1.6751224629470105,0.13209027619277858,-1.8072127391397892,97.22999798466745,20
2023-09-01,2023-09-29,3,0.0,-1.6695557203297984,0.1277937176080915,-1.7973494379378898,97.63772238283438,20
2023-10-02,2023-10-27,3,0.0,-1.669302044499677,0.19501396443358585,-1.8643160089332627,99.76494493729265,20
2023-11-01,2023-11-29,3,5.116182058193118,5.31147831172396,0.21936721944257748,10.2082931504745,105.11618205819312,20
2023-12-01,2023-12-29,3,1.967984554829087,2.2954734344204297,0.23889429666776552,4.024563692581752,101.96798455482909,20
2024-01-02,2024-01-30,3,1.2567078019494176,2.4869346223075866,0.23923780217669183,3.5044046220803122,101.25670780194942,20
2024-02-01,2024-02-29,3,2.1558783014560987,2.2714572935980897,0.24169400944855968,4.185641585605628,102.1558783014561,20
2024-03-01,2024-03-28,3,0.651973625429406,1.1693910901407776,0.23603875958640533,1.5853259559837782,100.6519736254294,20
2024-04-01,2024-04-26,3,0.0,-1.708451250397474,0.14161408987554389,-1.8500653402730178,97.56623582616315,20
2024-05-01,2024-05-29,3,4.278432266167869,3.1641393518651455,0.2073016278323031,7.235269990200711,104.27843226616787,20
2024-07-01,2024-07-29,3,1.2562021848956562,-1.061123638176852,0.2365982187806299,-0.0415196720618258,101.25620218489566,20
2024-08-01,2024-08-28,3,0.3183198875533435,0.5405269440353493,0.2833286643775357,0.5755181672111571,100.31831988755334,20
2024-09-03,2024-09-30,3,1.669948263082432,2.6366145762657993,0.23841918221703146,4.0681436571312,101.66994826308243,20
2024-10-01,2024-10-28,3,1.4857101557367969,0.9238763216933279,0.21702843750513715,2.1925580399249878,101.4857101557368,20
2024-11-01,2024-11-29,3,3.510616418449075,3.473273007578996,0.23439208166518882,6.749497344362882,103.51061641844908,20
2024-12-02,2024-12-30,3,0.0,-1.6366512782915592,0.1954108801154887,-1.832062158407048,99.50757931466778,20
